model,rmse,mae,r2
RF-Rainfall,8.833013225719444,3.8623064839871906,0.35049406579613973
RF-Temperature,0.7326397940554145,0.5428306162694835,0.9757182746255209
Persistence-Rainfall,13.053229999357717,5.20688264410373,-0.4184085573569547
Persistence-Temperature,1.1128290914811432,0.8319496468002606,0.943978404219834
